0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:03:34 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8598
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:03:34 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:04:04 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:04:04 +0630] "GET /University/AdminLTE/PageCreate/logo.jpg HTTP/1.1" 200 47830
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:04:07 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8598
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:04:07 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:07:28 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:07:28 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:07:36 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 9801
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:08:58 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:08:58 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:10:17 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8602
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:10:17 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:11:45 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8602
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:11:45 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:11:49 +0630] "GET /University/AdminLTE/User/example.jsp?id=134 HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:11:56 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:12:50 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8602
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:13:30 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 9801
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:13:30 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
