0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:52:31 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8993
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:53:58 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 9061
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:54:37 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7889
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:56:08 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7962
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:57:26 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:02 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:04 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:04 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:16 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:17 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:18 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:18 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:21 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 9096
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:30 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 6159
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:58:55 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:01:09 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:01:42 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:01:45 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10939
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:01:45 +0630] "GET /University/img/tyi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:01:45 +0630] "GET /University/img/ty.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:02:17 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:04:11 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11707
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:06:47 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11775
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:06:57 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=%E1%80%84%E1%80%BA%E1%80%B9%E1%80%94&lsearch=&msearch= HTTP/1.1" 200 9335
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:08:41 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=%E1%80%84%E1%80%BA%E1%80%B9%E1%80%94&lsearch=&msearch= HTTP/1.1" 200 9366
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:08:49 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:10:27 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:10:43 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:11:01 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:10:11:02 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:48:30 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:48:30 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:48:36 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:48:36 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:48:41 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 500 2392
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:53:29 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [26/Feb/2024:23:53:32 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 12303
